trip_id,created_at,route_type,origin_center,origin_name,dest_center,dest_name,dispatch_time,delivery_time,osrm_distance_km,osrm_time_min,actual_time_min,vehicle_reg,driver_id,client,status,billed_amount
trip-153785599371475806,2018-09-25 06:13:13.715019,Carting,IND401104AAA,Mumbai_MiraRd_IP (Maharashtra),IND401208AAA,Nalasopara (Maharashtra),2018-09-25 06:13:13.715019,2018-09-25 07:55:49.143035,14.3133,11.0,24.0,HR64RO3607,DRV-060,Apex Chemicals,COMPLETED,28392.0
trip-153722874636694214,2018-09-17 23:59:06.367201,Carting,IND600116AAB,Chennai_Porur_DPC (Tamil Nadu),IND602024AAA,Chennai_Vepmpttu_DC (Tamil Nadu),2018-09-17 23:59:06.367201,2018-09-18 02:06:00.394090,15.7068,15.0,36.0,CH 46 GN 6279,DRV-011,Apex Chemicals,COMPLETED,53147.0
trip-153746155271399856,2018-09-20 16:39:12.714220,FTL,IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),IND144001AAB,Jalandhar_DPC (Punjab),2018-09-20 16:39:12.714220,2018-09-20 19:05:50.791163,25.9509,18.0,27.0,hr68ts2638,DRV-017,Orion Pharma,COMPLETED,56908.0
trip-153758620113565116,2018-09-22 03:16:41.136080,Carting,IND501359AAE,Hyderabad_Shamshbd_H (Telangana),IND500080AAB,Hyderabad_Chikdply_I (Telangana),2018-09-22 03:16:41.136080,2018-09-22 06:30:33.200913,12.6407,13.0,29.0,PB47CH2654,DRV-042,Apex Chemicals,COMPLETED,23282.0
trip-153688766860438602,2018-09-14 01:14:28.604762,FTL,IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),2018-09-14 01:14:28.604762,2018-09-14 05:29:49.111642,37.0722,26.0,34.0,UP 13 DI 3925,DRV-002,Apex Chemicals,COMPLETED,61089.0
trip-153702607900908797,2018-09-15 15:41:19.009342,Carting,IND122004AAA,Gurgaon_Begumpur_CP (Haryana),IND122413AAE,Gurgaon_Bilaspur_P (Haryana),2018-09-15 15:41:19.009342,2018-09-15 17:16:56.463268,16.7799,16.0,23.0,UK-29-GJ-4566,DRV-030,Internal,COMPLETED,52715.0
trip-153736960059646362,2018-09-19 15:06:40.596714,Carting,IND560083AAB,Bengaluru_Bnnrghta_L (Karnataka),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),2018-09-19 15:06:40.596714,2018-09-19T18:47:11.556100Z,12.4344,16.0,26.0,UK-33-BI-7211,DRV-045,Orion Pharma,COMPLETED,52386.0
trip-153791922651527838,2018-09-25 23:47:06.515521,Carting,IND686513AAA,Mundakayam_Central_D_1 (Kerala),IND686540AAA,Karukachal_MnimlaRd_D (Kerala),2018-09-26 02:48:06.028054,2018-09-26 04:29:09.621001,14.6529,14.0,26.0,HR-24-VR-5371,DRV-047,Orion Pharma,COMPLETED,19111.0
trip-153735765396660168,2018-09-19 11:47:33.966873,FTL,IND221401AAA,Bhadohi_Rajpura_D (Uttar Pradesh),IND221303AAA,Gopiganj_Wardno13_D (Uttar Pradesh),2018-09-20 02:07:06.770109,2018-09-20 03:08:05.246276,17.544900000000002,16.0,48.0,UK16VU2612,DRV-058,Shakti Cement,COMPLETED,25516.0
trip-153738556112779668,2018-09-19 19:32:41.128121,Carting,IND122004AAA,Gurgaon_Begumpur_CP (Haryana),IND122413AAE,Gurgaon_Bilaspur_P (Haryana),2018-09-19 19:32:41.128121,2018-09-19 22:04:02.662448,14.2101,13.0,17.0,HR-68-TS-2638,DRV-051,Internal,COMPLETED,47035.0
trip-153774852027024076,2018-09-24 00:22:00.270488,Carting,IND209304AAA,Kanpur_Central_H_6 (Uttar Pradesh),IND209801AAA,Unnao_VikasRam_D (Uttar Pradesh),2018-09-24 00:22:00.270488,2018-09-24 02:48:22.198165,10.8711,7.0,18.0,DL47HM4986,DRV-023,Shakti Cement,COMPLETED,66934.0
trip-153743376766381732,2018-09-20 08:56:07.664194,FTL,IND501359AAE,Hyderabad_Shamshbd_H (Telangana),IND518002AAA,Kurnool_AbbasNgr_I (Andhra Pradesh),2018-09-20 08:56:07.664194,2018-09-20 15:47:40.843343,24.7457,17.0,28.0,CH67HY8613,DRV-019,Internal,COMPLETED,38931.0
trip-153677650448874624,2018-09-12 18:21:44.488960,FTL,IND712311AAA,Kolkata_Dankuni_HB (West Bengal),IND713103AAA,Bardhaman_Bankura_D (West Bengal),2018-09-12 18:21:44.488960,2018-09-13 00:35:59.057373,31.6172,22.0,50.0,HR64RO3607,DRV-020,Internal,COMPLETED,8175.0
trip-153773559064711218,2018-09-23 20:46:30.647374,Carting,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),2018-09-23 20:46:30.647374,2018-09-24 00:37:53.946560,11.8538,14.0,17.0,PB-74-TA-4257,DRV-004,Apex Chemicals,COMPLETED,33870.0
trip-153751209362150091,2018-09-21 06:41:33.621883,FTL,IND712311AAA,Kolkata_Dankuni_HB (West Bengal),IND732103AAB,Malda_Central_I_3 (West Bengal),2018-09-21 06:41:33.621883,2018-09-21 18:14:52.257516,24.519,17.0,33.0,UP29WG2052,DRV-052,Vertex Retail,COMPLETED,41984.0
trip-153678438787668952,2018-09-12 20:33:07.876918,FTL,IND416012AAA,Kolhapur_Shivaji_I (Maharashtra),IND415409AAB,Islampur_Shantanu_D (Maharashtra),2018-09-12 20:33:07.876918,2018-09-12 22:34:23.932155,24.6185,19.0,26.0,UK-27-ZO-9702,DRV-059,Vertex Retail,COMPLETED,17758.0
trip-153781984167724854,2018-09-24 20:10:41.677502,Carting,IND400072AAB,Mumbai Hub (Maharashtra),IND400015AAA,Mumbai_CottonGreen_DPC (Maharashtra),2018-09-24 20:10:41.677502,2018-09-24 21:31:25.935257,10.8873,8.0,17.0,up37ry4295,DRV-036,Orion Pharma,COMPLETED,51920.0
trip-153734744654145345,2018-09-19 08:57:26.541728,Carting,IND610001AAA,Thiruvarur_Bypasrd_D (Tamil Nadu),IND614715AAA,Thirthurpondi_Madaprum_D (Tamil Nadu),2018-09-19 08:57:26.541728,2018-09-19 09:56:14.044617,12.1178,11.0,16.0,PB74TA4257,DRV-002,Internal,COMPLETED,46574.0
trip-153755483567601190,2018-09-21 18:33:55.676270,FTL,IND301705AAA,Neemrana_Rcocmplx_D (Rajasthan),IND123001AAA,Narnaul_DC (Haryana),2018-09-22 01:31:00.796490,2018-09-22 03:03:39.915017,40.7227,31.0,56.0,HR63TT4697,DRV-038,Orion Pharma,COMPLETED,49069.0
trip-153825583237280363,2018-09-29 21:17:12.373093,FTL,IND124507AAA,Bahadurgarh_DC (Haryana),IND131028AAE,Sonipat_Central_D_2 (Haryana),2018-09-30 02:04:51.080675,2018-09-30 04:31:35.696211,35.6695,37.0,89.0,UK79WJ9666,DRV-019,Vertex Retail,COMPLETED,37079.0
trip-153715231411855860,2018-09-17 02:45:10.917700,Carting,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND560300AAA,Bengaluru_KGAirprt_HB (Karnataka),2018-09-17 02:45:10.917700,2018-09-17 05:57:58.440263,11.624,13.0,20.0,CH 40 BH 2290,DRV-046,Internal,COMPLETED,27929.0
trip-153851721886865218,2018-10-02 21:53:38.868908,Carting,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND401104AAA,Mumbai_MiraRd_IP (Maharashtra),2018-10-02 21:53:38.868908,2018-10-03 00:00:30.772242,28.4196,24.0,57.0,UP-41-IF-2771,DRV-051,Orion Pharma,COMPLETED,90551.0
trip-153684986348895147,2018-09-13 14:44:23.489210,Carting,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND201301AAF,Noida_Sec 02_DPC (Uttar Pradesh),2018-09-13 14:44:23.489210,2018-09-13 19:12:51.432854,11.0604,12.0,11.0,HR59KV7624,DRV-034,Vertex Retail,COMPLETED,43263.0
trip-153817715000756759,2018-09-28 23:25:50.007815,FTL,IND424006AAA,Dhule_MIDCAvdn_I (Maharashtra),IND424304AAC,Sakri_DhuleRoad_D (Maharashtra),2018-09-28 23:25:50.007815,2018-09-29 01:00:38.278291,25.1759,17.0,38.0,up54xz6139,DRV-040,Internal,COMPLETED,50335.0
trip-153830450355454066,2018-09-30 10:48:23.554796,FTL,IND834002AAB,Ranchi_Hub (Jharkhand),IND829122AAA,Ramgarh_HotelPrk_D (Jharkhand),2018-09-30 10:48:23.554796,2018-09-30 20:13:03.410981,27.3868,20.0,33.0,PB 59 PM 4997,DRV-053,Internal,COMPLETED,55512.0
trip-153738792692686993,2018-09-19 20:12:06.927328,Carting,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),2018-09-19 20:12:06.927328,2018-09-20 02:14:03.512268,13.5325,17.0,23.0,CH40BH2290,DRV-053,Vertex Retail,COMPLETED,77009.0
trip-153840938922846862,2018-10-01 15:56:29.228790,Carting,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND400102AAC,Mumbai_Jogshwri_I (Maharashtra),2018-10-01 15:56:29.228790,2018-10-01 18:25:11.557299,30.2027,24.0,56.0,HR15HP2193,DRV-036,Orion Pharma,COMPLETED,49434.0
trip-153700256225489184,2018-09-15 09:09:22.255140,Carting,IND560058AAD,Bengaluru_Peenya_L (Karnataka),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),2018-09-15 09:09:22.255140,2018-09-15 10:23:52.619982,11.615200000000002,15.0,23.0,CH-71-DC-7565,DRV-002,Internal,COMPLETED,72628.0
trip-153748835421987673,2018-09-21 00:05:54.220121,FTL,IND723133AAA,Rghunthpur_barkarRd_D (West Bengal),IND723130AAA,Hura_Central_D_1 (West Bengal),2018-09-21 06:06:24.291460,2018-09-21 07:29:33.046698,30.3566,44.0,79.0,CH76PU4919,DRV-048,Internal,COMPLETED,15991.0
trip-153811022867460596,2018-09-28 04:50:28.674841,Carting,IND382430AAB,Ahmedabad_East_H_1 (Gujarat),IND380005AAA,Amd_Chandkheda_Dc (Gujarat),2018-09-28 04:50:28.674841,2018-09-28 06:58:35.419909,11.2982,9.0,18.0,PB53GV5325,DRV-026,Apex Chemicals,COMPLETED,85324.0
trip-153750157943168363,2018-09-21 03:46:19.431927,FTL,IND461111AAA,Itarsi_DivrsnRd_D (Madhya Pradesh),IND460001AAA,Betul_PatelWrd_D (Madhya Pradesh),2018-09-21 10:25:49.782829,2018-09-21 12:42:25.002263,23.8154,17.0,30.0,DL-13-XI-5012,DRV-001,Vertex Retail,COMPLETED,51693.0
trip-153766955686469490,2018-09-23 02:25:56.864922,FTL,IND403726AAA,Goa_Hub (Goa),IND575004AAB,Mangalore_Kuntikna_H (Karnataka),2018-09-23 02:25:56.864922,2018-09-23 15:50:57.857908,23.9443,21.0,49.0,HR24VR5371,DRV-013,Apex Chemicals,COMPLETED,65764.0
trip-153700872905777780,2018-09-15 10:52:06.531072,Carting,IND400072AAB,Mumbai Hub (Maharashtra),IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),2018-09-15 10:52:06.531072,2018-09-15 17:15:37.320738,12.933,9.0,50.0,UP37UP7482,DRV-031,Internal,COMPLETED,48896.0
trip-153688462011149078,2018-09-14 00:23:40.111869,Carting,IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),IND140901AAA,Chandigarh_Mullanpr_DC (Chandigarh),2018-09-14 00:23:40.111869,2018-09-14 03:28:32.899746,15.2686,16.0,32.0,RJ45BB5786,DRV-035,Shakti Cement,COMPLETED,24572.0
trip-153721320494621782,2018-09-17 19:39:57.664380,FTL,IND403726AAA,Goa_Hub (Goa),IND411033AAA,Pune_Tathawde_H (Maharashtra),2018-09-17 19:39:57.664380,2018-09-18 09:40:15.375072,44.0373,43.0,49.0,ch85nj1986,DRV-058,Shakti Cement,COMPLETED,26994.0
trip-153792017987318450,2018-09-26 00:02:59.873571,FTL,IND508116AAA,Bhuvanagiri_HBColny_D (Telangana),IND508277AAB,Mothkur_Mainroad_D (Telangana),2018-09-26 02:23:32.433748,2018-09-26 03:18:55.565201,22.8311,24.0,26.0,UP-18-VK-6143,DRV-045,Internal,COMPLETED,28110.0
trip-153704338023107350,2018-09-15 20:29:40.231484,FTL,IND263601AAA,Almora_SuzkiSrv_D (Uttarakhand),IND262501AAA,Pithorgarh_Kumud_D (Uttarakhand),2018-09-16 03:52:38.240159,2018-09-16 08:28:42.796471,56.313,61.0,128.0,HR77LN6419,DRV-032,Orion Pharma,COMPLETED,34482.0
trip-153725801953816093,2018-09-18 08:06:59.538458,FTL,IND600056AAB,MAA_Poonamallee_HB (Tamil Nadu),IND632006AAA,Vellore_GndhiNgr_IP (Tamil Nadu),2018-09-18 08:06:59.538458,2018-09-18 19:19:14.565019,26.5075,25.0,35.0,UP40IM3144,DRV-022,Orion Pharma,COMPLETED,67174.0
trip-153687166594261221,2018-09-13 20:47:45.942988,Carting,IND638401AAA,Sathyamangalam_Mlydpthr_D (Tamil Nadu),IND638452AAA,Gobicheti_Ward25_D (Tamil Nadu),2018-09-14 03:20:43.911048,2018-09-14 03:52:52.379691,11.3445,10.0,11.0,HR85RH4608,DRV-045,Vertex Retail,COMPLETED,50227.0
trip-153807624549385221,2018-09-27 19:24:05.494134,Carting,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND121004AAB,FBD_Balabhgarh_DPC (Haryana),2018-09-27 19:24:05.494134,2018-09-27 21:48:30.600956,11.3234,12.0,15.0,HR10TK9005,DRV-010,Apex Chemicals,COMPLETED,50512.0
trip-153720906140991477,2018-09-17 18:31:01.410333,FTL,IND382430AAB,Ahmedabad_East_H_1 (Gujarat),IND389001AAA,Godhra_DC (Gujarat),2018-09-17 18:31:01.410333,2018-09-18 03:19:20.170218,24.6715,19.0,32.0,UP53YM5558,DRV-034,Apex Chemicals,COMPLETED,31810.0
trip-153752552536825795,2018-09-21 10:25:25.368548,FTL,IND181152AAB,Jammu_Central_I_1 (Jammu & Kashmir),IND184121AAA,Samba_Wardno13_D (Jammu & Kashmir),2018-09-22 09:36:09.913808,2018-09-22 14:28:00.361436,25.8371,24.0,37.0,uk16vu2612,DRV-042,Vertex Retail,COMPLETED,11643.0
trip-153840434448834001,2018-10-01 14:32:24.488572,FTL,IND756100AAC,Bhadrak_Central_I_2 (Orissa),IND758034AAA,Joda_Central_D_1 (Orissa),2018-10-01 14:32:24.488572,2018-10-01 23:51:00.065014,38.6725,28.0,106.0,UP13DI3925,DRV-060,Orion Pharma,COMPLETED,82936.0
trip-153758664393225007,2018-09-22 03:24:03.932599,Carting,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND560043AAC,HBR Layout PC (Karnataka),2018-09-22 03:24:03.932599,2018-09-22 05:46:46.457240,15.4562,20.0,20.0,CH 40 BH 2290,DRV-051,Internal,COMPLETED,16927.0
trip-153818047577525295,2018-09-29 00:21:15.775471,Carting,IND686507AAA,Parakkdavu_KeRoad_D (Kerala),IND686513AAA,Mundakayam_Central_D_1 (Kerala),2018-09-29 02:11:08.682770,2018-09-29 03:13:15.510972,13.1434,9.0,23.0,ch67hy8613,DRV-005,Orion Pharma,COMPLETED,14619.0
trip-153833840088933829,2018-09-30 20:13:20.889555,FTL,IND621211AAA,Musiri_ThryrRD_D (Tamil Nadu),IND621010AAA,Thuraiyur_Mthrapuri_D (Tamil Nadu),2018-09-30 23:41:17.809397,2018-10-01 00:54:16.584560,23.7937,21.0,27.0,HR49VN6344,DRV-014,Shakti Cement,COMPLETED,45219.0
trip-153815965825751082,2018-09-28 18:34:18.257773,FTL,IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),2018-09-28 18:34:18.257773,2018-09-29 06:16:06.733407,22.5073,24.0,55.0,HR59KV7624,DRV-019,Internal,COMPLETED,91514.0
trip-153783699545667952,2018-09-25 00:56:35.456904,FTL,IND624601AAA,Palani_RjndraRd_D (Tamil Nadu),IND624101AAA,Kodaikanal_Athithnr_DC (Tamil Nadu),2018-09-25 02:22:17.190462,2018-09-25 04:26:29.592258,58.4166,130.0,91.0,HR70ZZ3780,DRV-012,Shakti Cement,COMPLETED,88477.0
trip-153778066483022443,2018-09-24 09:17:44.830528,Carting,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND131028AAB,Sonipat_Kundli_H (Haryana),2018-09-24 09:17:44.830528,2018-09-24 14:53:59.054886,14.1398,15.0,46.0,HR63TT4697,DRV-011,Orion Pharma,COMPLETED,30308.0
